teamId,alias
team-kennesaw-st,Kennesaw St
team-kennesaw-st,Kennesaw St.
team-kennesaw-st,Kennesaw State
team-kent-st,Kent St
team-kent-st,Kent St.
team-kent-st,Kent State
team-kentucky,Kentucky
team-la-salle,La Salle
team-lafayette,Lafayette
team-lamar,Lamar
team-le-moyne,LM
team-le-moyne,Le Moyne
team-lehigh,Lehigh
team-liberty,Liberty
team-lindenwood,Lindenwood
team-lipscomb,Lipscomb
team-little-rock,Little Rock
team-liu,LIU
team-long-beach-st,Long Beach St
team-long-beach-st,Long Beach St.
team-long-beach-st,Long Beach State
team-longwood,Longwood
team-louisiana,Louisiana
team-louisiana-monroe,LM
team-louisiana-monroe,Louisiana Monroe
team-louisiana-tech,LT
team-louisiana-tech,Louisiana Tech
team-louisville,Louisville
team-loyola-chicago,LC
team-loyola-chicago,Loyola Chicago
team-loyola-marymount,LM
team-loyola-marymount,Loyola Marymount
team-loyola-md,LM
team-loyola-md,Loyola MD
team-lsu,LSU
team-maine,Maine
team-manhattan,Manhattan
team-marist,Marist
team-marquette,Marquette
team-marshall,Marshall
team-maryland,Maryland
team-maryland-eastern-shore,Maryland Eastern Shore
team-massachusetts,Massachusetts
team-massachusetts,UMass
team-mcneese-st,McNeese St
team-mcneese-st,McNeese St.
team-mcneese-st,McNeese State
team-memphis,Memphis
team-mercer,Mercer
team-mercyhurst,Mercyhurst
team-merrimack,Merrimack
team-miami-fl,MF
team-miami-fl,Miami
team-miami-fl,Miami (FL)
team-miami-fl,Miami (Fla.)
team-miami-fl,Miami FL
team-miami-fl,Miami Fla.
team-miami-fl,Miami Florida
team-miami-fl,Miami Hurricanes
team-miami-oh,MO
team-miami-oh,Miami (OH)
team-miami-oh,Miami OH
team-miami-oh,Miami Ohio
team-michigan,Michigan
team-michigan-st,Michigan St
team-michigan-st,Michigan St.
team-michigan-st,Michigan State
team-middle-tennessee,Middle Tennessee
team-milwaukee,Milwaukee
team-minnesota,Minnesota
team-mississippi,Mississippi
team-mississippi,Ole Miss
team-mississippi-st,Mississippi St
team-mississippi-st,Mississippi St.
team-mississippi-st,Mississippi State
team-mississippi-valley-st,Mississippi Valley St
team-mississippi-valley-st,Mississippi Valley St.
team-mississippi-valley-st,Mississippi Valley State
team-missouri,Missouri
team-missouri-st,Missouri St
team-missouri-st,Missouri St.
team-missouri-st,Missouri State
team-monmouth,Monmouth
team-montana,Montana
team-montana-st,Montana St
team-montana-st,Montana St.
team-montana-st,Montana State
team-morehead-st,Morehead St
team-morehead-st,Morehead St.
team-morehead-st,Morehead State
team-morgan-st,Morgan St
team-morgan-st,Morgan St.
team-morgan-st,Morgan State
team-mount-st-marys,MSM
team-mount-st-marys,Mount St Mary's
team-mount-st-marys,Mount St. Mary's
team-murray-st,Murray St
team-murray-st,Murray St.
team-murray-st,Murray State
team-n-c-state,N.C. State
team-n-c-state,NC State
team-navy,Navy
team-nebraska,Nebraska
team-nebraska-omaha,Nebraska Omaha
team-nevada,Nevada
team-new-hampshire,New Hampshire
team-new-haven,New Haven
team-new-mexico,New Mexico
team-new-mexico-st,New Mexico St
team-new-mexico-st,New Mexico St.
team-new-mexico-st,New Mexico State
team-new-orleans,New Orleans
team-niagara,Niagara
team-nicholls-st,Nicholls St
team-nicholls-st,Nicholls St.
team-nicholls-st,Nicholls State
team-njit,NJIT
team-norfolk-st,Norfolk St
team-norfolk-st,Norfolk St.
team-norfolk-st,Norfolk State
team-north-alabama,North Alabama
team-north-carolina,NC
team-north-carolina,North Carolina
team-north-carolina,UNC
team-north-carolina-aandt,North Carolina A&T
team-north-carolina-aandt,North Carolina AandT
team-north-carolina-central,North Carolina Central
team-north-dakota,North Dakota
team-north-dakota-st,North Dakota St
team-north-dakota-st,North Dakota St.
team-north-dakota-st,North Dakota State
team-north-florida,North Florida
team-north-texas,North Texas
team-northeastern,Northeastern
team-northern-arizona,Northern Arizona
team-northern-colorado,NC
team-northern-colorado,Northern Colorado
team-northern-illinois,Northern Illinois
team-northern-iowa,Northern Iowa
team-northern-kentucky,Northern Kentucky
team-northwestern,Northwestern
team-northwestern-st,Northwestern St
team-northwestern-st,Northwestern St.
team-northwestern-st,Northwestern State
team-notre-dame,Notre Dame
team-notre-dame,Notre Dame Fighting Irish
team-oakland,Oakland
team-ohio,Ohio
team-ohio-st,Ohio St
team-ohio-st,Ohio St.
team-ohio-st,Ohio State
team-oklahoma,Oklahoma
team-oklahoma-st,Oklahoma St
team-oklahoma-st,Oklahoma St.
team-oklahoma-st,Oklahoma State
team-old-dominion,Old Dominion
team-oral-roberts,Oral Roberts
team-oregon,Oregon
team-oregon-st,Oregon St
team-oregon-st,Oregon St.
team-oregon-st,Oregon State
team-pacific,Pacific
team-penn,Penn
team-penn-st,Penn St
team-penn-st,Penn St.
team-penn-st,Penn State
team-pepperdine,Pepperdine
team-pittsburgh,Pittsburgh
team-portland,Portland
team-portland-st,Portland St
team-portland-st,Portland St.
team-portland-st,Portland State
team-prairie-view-aandm,Prairie View A&M
team-prairie-view-aandm,Prairie View AandM
team-presbyterian,Presbyterian
team-princeton,Princeton
team-providence,Providence
team-purdue,Purdue
team-purdue-fort-wayne,Purdue Fort Wayne
team-queens,Queens
team-quinnipiac,Quinnipiac
team-radford,Radford
team-rhode-island,Rhode Island
team-rice,Rice
team-richmond,Richmond
team-rider,Rider
team-robert-morris,Robert Morris
team-rutgers,Rutgers
team-sacramento-st,Sacramento St
team-sacramento-st,Sacramento St.
team-sacramento-st,Sacramento State
team-sacred-heart,SH
team-sacred-heart,Sacred Heart
team-saint-francis,Saint Francis
team-saint-josephs,SJ
team-saint-josephs,Saint Joseph's
team-saint-louis,Saint Louis
team-saint-marys,SM
team-saint-marys,Saint Mary's
team-saint-peters,SP
team-saint-peters,Saint Peter's
team-sam-houston-st,SHS
team-sam-houston-st,Sam Houston St
team-sam-houston-st,Sam Houston St.
team-sam-houston-st,Sam Houston State
team-samford,Samford
team-san-diego,San Diego
team-san-diego-st,SDS
team-san-diego-st,San Diego St
team-san-diego-st,San Diego St.
team-san-diego-st,San Diego State
team-san-francisco,San Francisco
team-san-jose-st,San Jose St
team-san-jose-st,San Jose St Spartans
team-san-jose-st,San Jose St.
team-san-jose-st,San Jose State
team-san-jose-st,San José St Spartans
team-san-jose-st,San José St.
team-san-jose-st,San José State
team-santa-clara,Santa Clara
team-seattle,Seattle
team-seton-hall,SH
team-seton-hall,Seton Hall
team-siena,Siena
team-siu-edwardsville,SIU Edwardsville
team-smu,SMU
team-smu,SMU Mustangs
team-south-alabama,South Alabama
team-south-carolina,South Carolina
team-south-carolina-st,South Carolina St
team-south-carolina-st,South Carolina St.
team-south-carolina-st,South Carolina State
team-south-dakota,South Dakota
team-south-dakota-st,SDS
team-south-dakota-st,South Dakota St
team-south-dakota-st,South Dakota St.
team-south-dakota-st,South Dakota State
team-south-florida,South Florida
team-southeast-missouri-st,Southeast Missouri St
team-southeast-missouri-st,Southeast Missouri St.
team-southeast-missouri-st,Southeast Missouri State
team-southeastern-louisiana,Southeastern Louisiana
team-southern,Southern
team-southern-illinois,SI
team-southern-illinois,Southern Illinois
team-southern-indiana,SI
team-southern-indiana,Southern Indiana
team-southern-miss,SM
team-southern-miss,Southern Miss
team-southern-utah,SU
team-southern-utah,Southern Utah
team-st-bonaventure,SB
team-st-bonaventure,St Bonaventure
team-st-bonaventure,St. Bonaventure
team-st-johns,SJ
team-st-johns,St John's
team-st-johns,St. John's
team-st-thomas,ST
team-st-thomas,St Thomas
team-st-thomas,St. Thomas
team-stanford,Stanford
team-stephen-f-austin,Stephen F Austin
team-stephen-f-austin,Stephen F. Austin
team-stetson,Stetson
team-stonehill,Stonehill
team-stony-brook,SB
team-stony-brook,Stony Brook
team-syracuse,Syracuse
team-tarleton-st,Tarleton St
team-tarleton-st,Tarleton St.
team-tarleton-st,Tarleton State
team-tcu,TCU
team-temple,Temple
team-tennessee,Tennessee
team-tennessee-martin,TM
team-tennessee-martin,Tennessee Martin
team-tennessee-st,Tennessee St
team-tennessee-st,Tennessee St.
team-tennessee-st,Tennessee State
team-tennessee-tech,TT
team-tennessee-tech,Tennessee Tech
team-texas,Texas
team-texas-aandm,TA
team-texas-aandm,TAMU
team-texas-aandm,Texas A&M
team-texas-aandm,Texas AandM
team-texas-aandm-corpus-chris,A&M-Corpus Christi
team-texas-aandm-corpus-chris,TACC
team-texas-aandm-corpus-chris,TAMU
team-texas-aandm-corpus-chris,Texas A&M Corpus Christi
team-texas-aandm-corpus-chris,Texas A&M-Corpus Christi
team-texas-aandm-corpus-chris,Texas AM Corpus Christi
team-texas-southern,Texas Southern
team-texas-st,Texas St
team-texas-st,Texas St.
team-texas-st,Texas State
team-texas-tech,TT
team-texas-tech,Texas Tech
team-the-citadel,The Citadel
team-toledo,Toledo
team-towson,Towson
team-troy,Troy
team-tulane,Tulane
team-tulsa,Tulsa
team-uab,UAB
team-uc-davis,UC Davis
team-uc-irvine,UC Irvine
team-uc-riverside,UC Riverside
team-uc-san-diego,UC San Diego
team-uc-san-diego,USD
team-uc-santa-barbara,UC Santa Barbara
team-uc-santa-barbara,USB
team-ucf,UCF
team-ucla,UCLA
team-umass-lowell,UMass Lowell
team-umbc,UMBC
team-umkc,UMKC
team-unc-asheville,UNC Asheville
team-unc-greensboro,UG
team-unc-greensboro,UNC Greensboro
team-unc-wilmington,UNC Wilmington
team-unlv,UNLV
team-unlv,UNLV Rebels
team-usc,USC
team-usc-upstate,USC Upstate
team-usc-upstate,UU
team-ut-arlington,UT Arlington
team-ut-rio-grande-valley,URGV
team-ut-rio-grande-valley,UT Rio Grande Valley
team-utah,Utah
team-utah-st,US
team-utah-st,Utah St
team-utah-st,Utah St.
team-utah-st,Utah State
team-utah-st,Utah State Aggies
team-utah-tech,UT
team-utah-tech,Utah Tech
team-utah-valley,Utah Valley
team-utep,UTEP
team-utsa,UTSA
team-valparaiso,Valparaiso
team-vanderbilt,Vanderbilt
team-vcu,VCU
team-vermont,Vermont
team-villanova,Villanova
team-virginia,Virginia
team-virginia-tech,VT
team-virginia-tech,Virginia Tech
team-vmi,VMI
team-wagner,Wagner
team-wake-forest,WF
team-wake-forest,Wake Forest
team-washington,Washington
team-washington-st,Washington St
team-washington-st,Washington St.
team-washington-st,Washington State
team-weber-st,Weber St
team-weber-st,Weber St.
team-weber-st,Weber State
team-west-georgia,WG
team-west-georgia,West Georgia
team-west-virginia,WV
team-west-virginia,West Virginia
team-western-carolina,WC
team-western-carolina,Western Carolina
team-western-illinois,WI
team-western-illinois,Western Illinois
team-western-kentucky,WK
team-western-kentucky,Western Kentucky
team-western-michigan,WM
team-western-michigan,Western Michigan
team-wichita-st,Wichita St
team-wichita-st,Wichita St.
team-wichita-st,Wichita State
team-william-and-mary,WM
team-william-and-mary,William & Mary
team-william-and-mary,William and Mary
team-winthrop,Winthrop
team-wisconsin,Wisconsin
team-wofford,Wofford
team-wright-st,Wright St
team-wright-st,Wright St.
team-wright-st,Wright State
team-wyoming,Wyoming
team-xavier,Xavier
team-yale,Yale
team-youngstown-st,YS
team-youngstown-st,Youngstown St
team-youngstown-st,Youngstown St.
team-youngstown-st,Youngstown State
team-boston-university,Boston Univ. Terriers
team-boston-university,Boston Univ.
team-boston-university,Boston Univ
team-boston-university,Boston University

team-louisiana-monroe,UL Monroe Warhawks
team-louisiana-monroe,UL Monroe
team-louisiana-monroe,ULM
team-louisiana-monroe,Louisiana Monroe


team-purdue-fort-wayne,Fort Wayne
team-purdue-fort-wayne,Fort Wayne Mastodons

team-illinois-chicago,UIC
team-illinois-chicago,UIC Flames

team-northern-colorado,N Colorado
team-northern-colorado,N Colorado Bears

team-nebraska-omaha,Omaha
team-nebraska-omaha,Omaha Mavericks

team-little-rock,Arkansas-Little Rock
team-little-rock,Arkansas-Little Rock Trojans
team-little-rock,Arkansas Little Rock

team-tennessee-martin,Tenn-Martin
team-tennessee-martin,Tenn-Martin Skyhawks
team-tennessee-martin,UT Martin
team-tennessee-martin,UT Martin Skyhawks

team-southeast-missouri-st,SE Missouri St
team-southeast-missouri-st,SE Missouri St Redhawks
team-southeast-missouri-st,Southeast Missouri St Redhawks

team-cal-st-bakersfield,CSU Bakersfield
team-cal-st-bakersfield,CSU Bakersfield Roadrunners

team-cal-st-fullerton,CSU Fullerton
team-cal-st-fullerton,CSU Fullerton Titans

team-usc-upstate,USC Upstate
team-usc-upstate,South Carolina Upstate
team-usc-upstate,SC Upstate
team-usc-upstate,Upstate
team-usc-upstate,Upstate Spartans
team-usc-upstate,South Carolina Upstate Spartans
team-usc-upstate,USC Upstate Spartans

team-fiu,fiu
team-fiu,florida international
team-fiu,florida intl
team-fiu,florida int'l
team-fiu,florida int
team-fiu,golden panthers
team-fiu,florida intl golden panthers
team-fiu,florida int'l golden panthers
team-fiu,florida international golden panthers

team-saint-francis,saint francis
team-saint-francis,st francis
team-saint-francis,st. francis

team-mount-st-marys,Mt St Mary's
team-mount-st-marys,Mt. St. Mary's
team-mount-st-marys,Mt St Marys
team-mount-st-marys,Mt. St. Marys
team-mount-st-marys,Mt St Mary's Mountaineers
team-mount-st-marys,Mt. St. Mary's Mountaineers

team-loyola-chicago,Loyola (Chi)
team-loyola-chicago,Loyola Chi
team-loyola-chicago,Loyola (Chicago)
team-loyola-chicago,Loyola Chicago Ramblers
team-loyola-chicago,Loyola (Chi) Ramblers

team-penn,Pennsylvania
team-penn,Pennsylvania Quakers
team-penn,Penn Quakers
team-penn,UPenn
team-penn,UPENN
team-penn,University of Pennsylvania
