teamId,alias
team-purdue,Purdue Boilermakers
team-purdue,Purdue
team-rice,Rice Owls
team-rice,Rice
team-rutgers,Rutgers Scarlet Knights
team-rutgers,Rutgers
team-sam-houston,Sam Houston Bearkats
team-sam-houston,Sam Houston
team-san-diego-state,San Diego State Aztecs
team-san-diego-state,San Diego State
team-san-jose-state,San José State Spartans
team-san-jose-state,San José State
team-smu,SMU Mustangs
team-smu,SMU
team-south-alabama,South Alabama Jaguars
team-south-alabama,South Alabama
team-south-carolina,South Carolina Gamecocks
team-south-carolina,South Carolina
team-southern-miss,Southern Miss Golden Eagles
team-southern-miss,Southern Miss
team-south-florida,South Florida Bulls
team-south-florida,South Florida
team-stanford,Stanford Cardinal
team-stanford,Stanford
team-syracuse,Syracuse Orange
team-syracuse,Syracuse
team-tcu,TCU Horned Frogs
team-tcu,TCU
team-temple,Temple Owls
team-temple,Temple
team-tennessee,Tennessee Volunteers
team-tennessee,Tennessee
team-texas,Texas Longhorns
team-texas,Texas
team-texas-aandm,Texas A&M Aggies
team-texas-aandm,Texas A&M
team-texas-state,Texas State Bobcats
team-texas-state,Texas State
team-texas-tech,Texas Tech Red Raiders
team-texas-tech,Texas Tech
team-toledo,Toledo Rockets
team-toledo,Toledo
team-troy,Troy Trojans
team-troy,Troy
team-tulane,Tulane Green Wave
team-tulane,Tulane
team-tulsa,Tulsa Golden Hurricane
team-tulsa,Tulsa
team-uab,UAB Blazers
team-uab,UAB
team-ucf,UCF Knights
team-ucf,UCF
team-ucla,UCLA Bruins
team-ucla,UCLA
team-uconn,UConn Huskies
team-uconn,UConn
team-ul-monroe,UL Monroe Warhawks
team-ul-monroe,UL Monroe
team-unlv,UNLV Rebels
team-unlv,UNLV
team-usc,USC Trojans
team-usc,USC
team-utah,Utah Utes
team-utah,Utah
team-utah-state,Utah State Aggies
team-utah-state,Utah State
team-utep,UTEP Miners
team-utep,UTEP
team-utsa,UTSA Roadrunners
team-utsa,UTSA
team-vanderbilt,Vanderbilt Commodores
team-vanderbilt,Vanderbilt
team-virginia,Virginia Cavaliers
team-virginia,Virginia
team-virginia-tech,Virginia Tech Hokies
team-virginia-tech,Virginia Tech
team-wake-forest,Wake Forest Demon Deacons
team-wake-forest,Wake Forest
team-washington,Washington Huskies
team-washington,Washington
team-washington-state,Washington State Cougars
team-washington-state,Washington State
team-western-kentucky,Western Kentucky Hilltoppers
team-western-kentucky,Western Kentucky
team-western-michigan,Western Michigan Broncos
team-western-michigan,Western Michigan
team-west-virginia,West Virginia Mountaineers
team-west-virginia,West Virginia
team-wisconsin,Wisconsin Badgers
team-wisconsin,Wisconsin
team-wyoming,Wyoming Cowboys
team-wyoming,Wyoming
