teamId,teamName,conference,powerRating,hca,adjO,adjD,tempo,barthag,torvikRank,torvikOeRank,torvikDeRank,wins,losses
team-utsa,UTSA,American Athletic,2.900,2.3,31.900,29.200,60.000,,59,31,92,1,0
team-vanderbilt,Vanderbilt,SEC,12.100,2.3,34.000,22.500,63.000,,27,16,44,1,0
team-virginia,Virginia,ACC,11.500,2.3,28.400,17.100,67.500,,30,52,18,2,0
team-virginia-tech,Virginia Tech,ACC,12.400,2.3,32.600,20.000,74.000,,25,25,28,1,0
team-wake-forest,Wake Forest,ACC,1.600,2.3,23.800,22.200,68.000,,67,87,43,1,0
team-washington,Washington,Big Ten,12.000,2.3,30.500,18.100,64.000,,29,40,22,1,0
team-washington-state,Washington State,Pac-12,-3.700,2.3,20.500,24.000,57.000,,79,107,56,0,1
team-western-kentucky,Western Kentucky,Conference USA,-13.100,2.3,22.000,35.600,84.000,,114,96,121,0,1
team-western-michigan,Western Michigan,Mid-American,-4.200,2.3,19.400,23.200,70.000,,81,112,49,0,1
team-west-virginia,West Virginia,Big 12,-4.400,2.3,24.100,28.600,77.000,,82,85,88,1,0
team-wisconsin,Wisconsin,Big Ten,-1.500,2.3,19.300,20.600,61.000,,74,113,34,0,1
team-wyoming,Wyoming,Mountain West,-15.200,2.3,13.700,28.300,55.000,,121,128,85,0,1
