teamId,teamName,conference,powerRating,hca,hca_note,adjO,adjD,tempo,barthag,torvikRank,torvikOeRank,torvikDeRank,wins,losses
team-milwaukee,Milwaukee,Horz,-5.562,2.0,default HCA=2.0 (no True HF Edge in chart),106.61610385764152,114.86474693824874,67.42347876650406,0.2979688817887821,268,224,292,12,19
team-southern-utah,Southern Utah,WAC,-5.169,1.7894736842105263,from True HF Edge chart (2022-25),106.26094137992186,113.63510474426027,70.09624690759895,0.3161354656359427,252,233,268,10,19
team-utep,UTEP,CUSA,-5.965,1.649122807017544,from True HF Edge chart (2022-25),102.13456252026266,111.3602624830055,64.65226955567495,0.2700216474468,276,302,221,10,19
team-north-dakota,North Dakota,Sum,-6.738,2.0,default HCA=2.0 (no True HF Edge in chart),107.78403121495617,117.78791905459482,67.35509536537707,0.2648917982340679,279,187,325,16,16
team-south-dakota,South Dakota,Sum,-6.517,2.0,default HCA=2.0 (no True HF Edge in chart),104.8691254906538,114.19528208012387,69.8815922729942,0.2729386931597235,274,252,278,16,15
team-longwood,Longwood,BSth,-5.642,1.649122807017544,from True HF Edge chart (2022-25),103.28425605880967,111.5549059324642,68.22168359982572,0.29196339344511163,270,277,225,16,15
team-georgia-st,Georgia St.,SB,-7.89,1.719298245614035,from True HF Edge chart (2022-25),99.80869969583327,111.49190685190091,67.53481607796967,0.2187421668834386,308,330,223,10,21
team-tennessee-st,Tennessee St.,OVC,-4.238,2.0701754385964914,from True HF Edge chart (2022-25),107.5657095424486,113.61169224188538,70.10182845878434,0.3477663744546565,233,194,267,21,9
team-eastern-kentucky,Eastern Kentucky,ASun,-7.274,2.0,default HCA=2.0 (no True HF Edge in chart),109.13476317929894,119.98670263265285,67.03223990179401,0.2515861465203884,285,166,348,11,20
team-pepperdine,Pepperdine,WCC,-5.152,2.2807017543859653,from True HF Edge chart (2022-25),105.64062094823791,113.20742566349473,68.09007279909247,0.3109769022921733,257,247,258,9,22
team-east-texas-aandm,East Texas A&M,Slnd,-7.353,2.0,default HCA=2.0 (no True HF Edge in chart),100.01130041437443,110.8065690394591,68.11702619159495,0.23527107296545302,292,327,212,11,20
team-western-carolina,Western Carolina,SC,-3.348,2.0,default HCA=2.0 (no True HF Edge in chart),110.5256221623228,115.46319100527478,67.80044938964869,0.37692966519327953,223,146,299,14,15
team-delaware,Delaware,CUSA,-5.161,1.1929824561403513,from True HF Edge chart (2022-25),106.5856922826515,114.83271472036307,62.58419448196374,0.2979535425985615,269,226,289,9,20
team-cleveland-st,Cleveland St.,Horz,-9.316,1.719298245614035,from True HF Edge chart (2022-25),110.65508406987027,124.13537842003714,69.1102720407849,0.21048918370255235,313,139,363,10,21
team-central-michigan,Central Michigan,MAC,-4.077,2.0,default HCA=2.0 (no True HF Edge in chart),107.19743086731373,113.30548579243352,66.75264015814147,0.34586256718198066,237,209,259,10,19
team-presbyterian,Presbyterian,BSth,-6.404,1.649122807017544,from True HF Edge chart (2022-25),103.0014466328059,113.03488580410743,63.82338738336716,0.25559999820386914,282,287,256,14,17
team-iu-indy,IU Indy,Horz,-7.735,2.0,default HCA=2.0 (no True HF Edge in chart),106.85708515844686,117.41883796708777,73.23521803462604,0.2527624074504557,284,218,316,7,24
team-brown,Brown,Ivy,-5.968,1.859649122807018,from True HF Edge chart (2022-25),98.630678445027,107.6288975091328,66.32849151320676,0.2681501164931136,277,343,142,9,17
team-uc-riverside,UC Riverside,BW,-5.235,2.0,default HCA=2.0 (no True HF Edge in chart),102.83236514713428,110.50725942609577,68.21517879269777,0.3041141809938259,264,291,204,10,21
team-evansville,Evansville,MVC,-8.143,2.210526315789474,from True HF Edge chart (2022-25),102.35978264529288,114.57367346962315,66.66991421584812,0.2147836751534497,311,298,284,7,24
team-hampton,Hampton,CAA,-7.205,1.649122807017544,from True HF Edge chart (2022-25),100.5866413011307,111.68487727028324,64.91864731668548,0.2308334111807257,296,323,227,13,17
team-louisiana,Louisiana,SB,-6.34,2.0,default HCA=2.0 (no True HF Edge in chart),101.6060478903677,111.73394866361286,62.60311032779444,0.2511098979348623,286,307,228,10,21
team-mercyhurst,Mercyhurst,NEC,-6.38,3.2280701754385968,from True HF Edge chart (2022-25),102.25371234720185,112.20281680813832,64.12275790025613,0.2558242647044532,281,299,239,15,16
team-east-carolina,East Carolina,Amer,-5.02,2.0,default HCA=2.0 (no True HF Edge in chart),103.39647573708355,110.7385167645474,68.3706556743383,0.31240283513989775,254,276,210,11,18
team-western-michigan,Western Michigan,MAC,-6.553,2.0,default HCA=2.0 (no True HF Edge in chart),108.00664803354013,117.69868069907427,67.6082455511691,0.2712573249959955,275,183,321,10,19
team-le-moyne,Le Moyne,NEC,-7.858,2.0,default HCA=2.0 (no True HF Edge in chart),101.04572346204019,112.39481323350975,69.23556014178821,0.22721332758025042,300,316,243,15,16
team-boston-university,Boston University,Pat,-4.418,2.0,default HCA=2.0 (no True HF Edge in chart),111.767449877149,118.77108056009268,63.08565772059683,0.33204681596768093,245,125,339,15,16
team-north-carolina-aandt,North Carolina A&T,CAA,-7.492,2.0,default HCA=2.0 (no True HF Edge in chart),105.8277396567092,116.79997454478408,68.28221711458269,0.24333582476303162,287,240,310,11,17
team-loyola-chicago,Loyola Chicago,A10,-7.383,2.0,default HCA=2.0 (no True HF Edge in chart),102.87732253289124,114.02153254448827,66.25234645738435,0.23455345068338262,293,290,274,7,22
team-bellarmine,Bellarmine,ASun,-8.263,0.3859649122807018,from True HF Edge chart (2022-25),114.77400878389943,127.59858766076081,64.43262405326317,0.22826590461476728,299,86,365,12,18
team-northwestern-st,Northwestern St.,Slnd,-7.438,2.1403508771929824,from True HF Edge chart (2022-25),102.19232761146355,113.67158656806934,64.79151686275164,0.22718869406751863,301,301,269,10,20
team-alabama-aandm,Alabama A&M,SWAC,-7.98,2.4912280701754392,from True HF Edge chart (2022-25),104.31034496057109,116.57636841644467,65.06054559760564,0.2178014990229478,310,261,307,16,13
team-mount-st-marys,Mount St. Mary's,MAAC,-5.922,1.1228070175438598,from True HF Edge chart (2022-25),99.64751609182514,108.39117611908597,67.72851036807478,0.27543157065977686,273,331,160,15,16
team-usc-upstate,USC Upstate,BSth,-7.668,2.1754385964912286,from True HF Edge chart (2022-25),99.52606214843954,110.86754665771417,67.6145808065019,0.22425470507856407,303,332,216,13,18
team-northern-arizona,Northern Arizona,BSky,-8.238,2.0,default HCA=2.0 (no True HF Edge in chart),106.72753427757796,119.69773719340255,63.514849683476,0.21099452128717447,312,221,346,10,20
team-northern-illinois,Northern Illinois,MAC,-11.293,2.0,default HCA=2.0 (no True HF Edge in chart),96.01540731751223,112.84073347743606,67.11872802563111,0.13506593405816053,337,352,251,9,19
team-central-connecticut,Central Connecticut,NEC,-7.988,2.0,default HCA=2.0 (no True HF Edge in chart),105.67706470607642,118.01885231140247,64.72525510303781,0.21921451670915731,307,246,330,18,11
team-sacred-heart,Sacred Heart,MAAC,-7.677,1.508771929824562,from True HF Edge chart (2022-25),107.22897346975128,118.45163197561517,68.40770825594322,0.2414603957710541,288,208,335,13,18
team-morehead-st,Morehead St.,OVC,-6.641,2.0000000000000004,from True HF Edge chart (2022-25),107.87019005076124,118.06130281839842,65.16890723773513,0.2615037086449381,280,186,331,19,12
team-jacksonville,Jacksonville,ASun,-6.385,2.0000000000000004,from True HF Edge chart (2022-25),103.40709558454722,113.52200930774646,63.12758149725238,0.254791927691489,283,275,263,12,19
team-ball-st,Ball St.,MAC,-6.727,1.473684210526316,from True HF Edge chart (2022-25),98.92176269590968,109.55042349955477,63.29084586185509,0.2361976306355535,291,341,186,10,19
team-texas-southern,Texas Southern,SWAC,-7.83,1.0526315789473686,from True HF Edge chart (2022-25),103.53747125704368,114.96870561841057,68.5001356391057,0.23070168582202769,297,272,294,12,16
team-njit,NJIT,AE,-8.576,2.0,default HCA=2.0 (no True HF Edge in chart),99.83756109220809,112.4836556634063,67.81530168916765,0.20237281324489825,314,329,244,15,15
team-lehigh,Lehigh,Pat,-7.378,1.4035087719298247,from True HF Edge chart (2022-25),103.18507290949697,114.25387532261854,66.66032742442097,0.23652334954421464,290,281,279,15,16
team-chattanooga,Chattanooga,SC,-8.195,2.0,default HCA=2.0 (no True HF Edge in chart),104.79247754056752,117.06251158763861,66.79238981586586,0.2186843225369004,309,254,312,13,18
team-unc-greensboro,UNC Greensboro,SC,-8.162,2.0,default HCA=2.0 (no True HF Edge in chart),108.0248557490028,120.09432607565938,67.62226444637056,0.22828233517792687,298,181,349,13,18
team-florida-aandm,Florida A&M,SWAC,-7.323,2.1754385964912286,from True HF Edge chart (2022-25),99.21822474456886,110.04849832415664,67.61469403565509,0.2330097751241865,294,335,194,13,15
team-houston-christian,Houston Christian,Slnd,-8.608,1.719298245614035,from True HF Edge chart (2022-25),102.65886890460052,116.21994744663755,63.47474843982758,0.193591684755547,316,293,303,11,19
team-alabama-st,Alabama St.,SWAC,-8.099,0.7719298245614037,from True HF Edge chart (2022-25),101.24908693279835,112.98440578386905,69.01136950335143,0.22077420536983156,306,313,254,10,19
team-new-hampshire,New Hampshire,AE,-12.944,2.035087719298246,from True HF Edge chart (2022-25),95.63019572480653,114.87313405418053,67.26596557520806,0.10828241648076288,347,357,293,8,20
team-west-georgia,West Georgia,ASun,-8.014,1.4035087719298247,from True HF Edge chart (2022-25),103.12118712445917,114.7874037108232,68.69567111785973,0.2257381962928777,302,282,287,14,16
team-lafayette,Lafayette,Pat,-9.62,0.7017543859649124,from True HF Edge chart (2022-25),100.53705773300224,115.00329867956836,66.5019219814281,0.17566534911029372,322,324,296,11,20
team-cal-st-bakersfield,Cal St. Bakersfield,BW,-10.979,2.0,default HCA=2.0 (no True HF Edge in chart),101.85711328669953,117.62508479408876,69.62957733378582,0.16040599412627785,328,304,320,8,22
team-albany,Albany,AE,-9.081,1.9649122807017545,from True HF Edge chart (2022-25),104.04040511108337,117.98498214017306,65.1229251119795,0.19054895724908735,318,264,328,11,19
team-eastern-illinois,Eastern Illinois,OVC,-10.558,2.0,default HCA=2.0 (no True HF Edge in chart),95.72404182327801,111.84577190506232,65.49048983710298,0.14307381730749966,332,355,231,12,19
team-fairleigh-dickinson,Fairleigh Dickinson,NEC,-11.102,2.0,default HCA=2.0 (no True HF Edge in chart),101.42436984448109,118.84010074291422,63.74529251533045,0.1391517380347531,334,308,340,11,20
team-north-florida,North Florida,ASun,-11.568,2.0,default HCA=2.0 (no True HF Edge in chart),107.36462208264636,123.87279834001261,70.07413686485788,0.1618154669237807,326,203,362,7,24
team-stetson,Stetson,ASun,-9.443,1.7543859649122808,from True HF Edge chart (2022-25),104.51621725974212,118.66026234829349,66.76237841626431,0.18852765998088142,320,259,336,11,20
team-prairie-view-aandm,Prairie View A&M,SWAC,-9.805,1.2631578947368425,from True HF Edge chart (2022-25),101.34619102288582,114.99257840594547,71.85221693272767,0.18958008795228415,319,310,295,13,17
team-umass-lowell,UMass Lowell,AE,-9.856,2.0,default HCA=2.0 (no True HF Edge in chart),102.82733471773265,117.07442814695524,69.17715867449354,0.18358807897746507,321,292,313,13,17
team-oral-roberts,Oral Roberts,Sum,-8.799,1.929824561403509,from True HF Edge chart (2022-25),101.78548521617371,114.83539995110948,67.42217879229112,0.19984373786745654,315,306,290,9,22
team-bucknell,Bucknell,Pat,-10.982,1.2280701754385963,from True HF Edge chart (2022-25),98.9534610775821,115.37286586833567,66.88689552634038,0.1461059877353238,330,340,298,9,22
team-holy-cross,Holy Cross,Pat,-11.421,1.017543859649123,from True HF Edge chart (2022-25),100.75709142365977,118.30562770067928,65.08464393327745,0.13629310711741294,336,321,332,10,21
team-wagner,Wagner,NEC,-8.958,0.3859649122807018,from True HF Edge chart (2022-25),103.21054734956789,116.90810762966257,65.39976355891433,0.1926165226965049,317,279,311,13,16
team-little-rock,Little Rock,OVC,-9.912,2.0,default HCA=2.0 (no True HF Edge in chart),102.59217380959278,117.60387930018729,66.02528305948984,0.17215306725674262,323,294,319,12,19
team-loyola-md,Loyola MD,Pat,-10.533,2.0,default HCA=2.0 (no True HF Edge in chart),103.28058286316993,118.75843715894304,68.05100496519327,0.16716082947555047,324,278,337,12,19
team-manhattan,Manhattan,MAAC,-11.932,0.3508771929824563,from True HF Edge chart (2022-25),104.83173954852404,122.43712007222143,67.77693895765174,0.14365341857527075,331,253,356,12,19
team-army,Army,Pat,-12.427,0.4561403508771931,from True HF Edge chart (2022-25),101.40964872698424,119.98021640705517,66.91897514795258,0.1263279052874002,341,309,347,11,20
team-norfolk-st,Norfolk St.,MEAC,-10.455,2.736842105263158,from True HF Edge chart (2022-25),101.13959874734518,116.62559719000228,67.51561661947402,0.16268683035141074,325,314,309,15,14
team-tennessee-tech,Tennessee Tech,OVC,-10.477,2.6666666666666674,from True HF Edge chart (2022-25),101.83575500753987,117.52707756016326,66.76909455982397,0.16137455766145442,327,305,317,13,18
team-stonehill,Stonehill,NEC,-11,1.2280701754385963,from True HF Edge chart (2022-25),92.43559616419122,109.09316417115363,66.03821191358651,0.12949445865368384,340,362,174,11,20
team-niagara,Niagara,MAAC,-10.594,0.736842105263158,from True HF Edge chart (2022-25),100.28259488190767,117.40917471614316,61.85505934808752,0.14024719127956864,333,326,315,8,22
team-air-force,Air Force,MWC,-11.317,1.2280701754385963,from True HF Edge chart (2022-25),97.0915640741201,114.26520897472066,65.89587648680904,0.13319752420504108,339,347,280,3,26
team-north-alabama,North Alabama,ASun,-11.989,2.0,default HCA=2.0 (no True HF Edge in chart),100.3261741333387,118.85519102872018,64.7029594407345,0.12466119692485352,342,325,342,9,20
team-alcorn-st,Alcorn St.,SWAC,-12.587,1.7894736842105263,from True HF Edge chart (2022-25),99.15891532163305,117.73011817240545,67.77632255179275,0.12193658772671152,343,336,323,7,21
team-the-citadel,The Citadel,SC,-13.323,1.2280701754385963,from True HF Edge chart (2022-25),98.59004885766639,119.42818105431269,63.937812327656275,0.09929648875521312,350,344,344,10,21
team-new-haven,New Haven,NEC,-9.636,2.0,default HCA=2.0 (no True HF Edge in chart),96.46976488111625,111.74199500428188,63.09185334599073,0.15576610959215972,329,349,229,14,17
team-jackson-st,Jackson St.,SWAC,-12.16,0.3157894736842106,from True HF Edge chart (2022-25),100.90376558977988,118.38171008609618,69.57557431079063,0.13739577358533883,335,320,333,9,20
team-southern-indiana,Southern Indiana,OVC,-12.261,2.0,default HCA=2.0 (no True HF Edge in chart),96.2425232800583,114.42459167778613,67.43662989405814,0.12025534184265506,345,351,283,7,23
team-canisius,Canisius,MAAC,-11.539,1.5789473684210529,from True HF Edge chart (2022-25),95.94109879847642,114.03801699206436,63.76478957581671,0.12055654209208962,344,354,276,10,21
team-north-carolina-central,North Carolina Central,MEAC,-14.239,2.0,default HCA=2.0 (no True HF Edge in chart),100.97254764159251,122.60927968131665,65.81070433549594,0.09684596223052014,352,318,358,11,16
team-utsa,UTSA,Amer,-12.173,2.0,default HCA=2.0 (no True HF Edge in chart),100.93157521586545,118.75876036801407,68.28279256826237,0.13348491162811213,338,319,338,5,24
team-saint-francis,Saint Francis,NEC,-14.972,2.0,default HCA=2.0 (no True HF Edge in chart),101.0200029593823,122.49871425760661,69.70717561940972,0.09823486957092531,351,317,357,7,24
team-louisiana-monroe,Louisiana Monroe,SB,-14.741,2.0,default HCA=2.0 (no True HF Edge in chart),101.04702823609176,122.06275109825575,70.14436092839199,0.10220912906987029,349,315,355,4,27
team-maine,Maine,AE,-12.392,2.8771929824561404,from True HF Edge chart (2022-25),93.47032446171023,112.64862436172639,64.6146762341031,0.10468322309565117,348,360,247,8,22
team-umkc,UMKC,Sum,-16.089,2.0,default HCA=2.0 (no True HF Edge in chart),94.07261662812782,117.22886382806794,69.47968075160752,0.0737336246002947,358,358,314,4,26
team-chicago-st,Chicago St.,NEC,-12.43,1.8947368421052635,from True HF Edge chart (2022-25),99.0276704516611,117.98500693054358,65.56973392274351,0.11770761137154118,346,339,329,7,24
team-maryland-eastern-shore,Maryland Eastern Shore,MEAC,-13.717,2.0,default HCA=2.0 (no True HF Edge in chart),93.51761478606355,115.29628424153117,62.98518014088134,0.08259597941004684,354,359,297,9,20
team-bryant,Bryant,AE,-14.795,2.210526315789474,from True HF Edge chart (2022-25),96.43179262329522,119.47848022150586,64.19639780568738,0.0783879779511435,355,350,345,9,20
team-morgan-st,Morgan St.,MEAC,-15.87,2.210526315789474,from True HF Edge chart (2022-25),99.46766592340009,122.03540152331264,70.3198942993219,0.0869463513047382,353,333,354,12,15
